,Name,Type,Cuisine,PODN
258,Vitamin B3,good,Italian,32.71231999999999
259,Vitamin B12,good,American,32.710664556961994
260,Protein,good,Nordic,32.65856
261,Phosphorus,good,Latin American,32.617073170731715
262,Fat,bad,Thai,32.574359999999984
263,Iron,good,American,32.57070000000001
264,Fat,bad,German,32.56335999999996
265,Saturated Fat,bad,Mediterranean,32.52959999999998
266,Vitamin B12,good,European,32.46449230769233
267,Vitamin B2,good,European,32.32585999999999
268,Vitamin B3,good,German,32.30544354838707
269,Potassium,good,Mediterranean,32.11471999999999
270,Protein,good,British,31.369659999999975
271,Potassium,good,French,31.295419999999993
272,Cholesterol,bad,Nordic,31.267226666666684
273,Manganese,good,Eastern European,31.205290581162334
274,Potassium,good,Jewish,31.02754000000002
275,Saturated Fat,bad,American,30.97611999999997
276,Potassium,good,Italian,30.916720000000005
277,Saturated Fat,bad,European,30.90111999999999
278,Vitamin B2,good,Mediterranean,30.789119999999997
279,Vitamin B2,good,Italian,30.743380000000013
280,Selenium,good,African,30.692160493827167
281,Vitamin B1,good,Italian,30.580060000000014
282,Folate,good,Thai,30.53605210420843
283,Calcium,good,Italian,30.513100000000005
284,Fat,bad,Middle Eastern,30.47374
285,Cholesterol,bad,Korean,30.468480000000003
286,Vitamin B2,good,French,30.468180000000014
287,Phosphorus,good,British,30.3830861723447
288,Vitamin B6,good,German,30.28629258517033
289,Cholesterol,bad,Irish,30.27413999999997
290,Vitamin B1,good,European,30.179180000000017
291,Magnesium,good,American,30.11985999999999
292,Vitamin B2,good,American,30.10688000000002
293,Fiber,good,Southern,30.078531187122774
294,Fiber,good,French,30.07538306451614
295,Vitamin B1,good,Southern,30.014440000000008
296,Fat,bad,Jewish,30.012499999999996
297,Vitamin B2,good,Southern,29.994739999999993
298,Vitamin K,good,Caribbean,29.958781038374745
299,Vitamin B1,good,Mediterranean,29.890940000000008
300,Fat,bad,Cajun,29.85538
301,Vitamin B6,good,Middle Eastern,29.829660000000004
302,Fat,bad,Nordic,29.817573333333357
303,Zinc,good,Latin American,29.775204081632648
304,Magnesium,good,Indian,29.721400000000006
305,Fat,bad,African,29.71982352941176
306,Phosphorus,good,Middle Eastern,29.66786000000001
307,Vitamin K,good,Jewish,29.581700819672108
308,Fat,bad,Korean,29.53731999999999
309,Magnesium,good,European,29.455440000000024
310,Vitamin A,good,German,29.406542669584276
311,Copper,good,American,29.394939999999973
312,Iron,good,Indian,29.29498000000001
313,Zinc,good,Korean,29.19749498997995
314,Iron,good,Italian,29.05914000000001
315,Phosphorus,good,Vietnamese,29.05886
316,Manganese,good,Caribbean,29.021690721649474
317,Magnesium,good,Italian,28.968840000000014
318,Copper,good,Middle Eastern,28.937640000000016
319,Folate,good,Chinese,28.915119999999956
320,Folate,good,Spanish,28.861899999999995
321,Magnesium,good,Mediterranean,28.818160000000027
322,Cholesterol,bad,Chinese,28.778120000000015
323,Iron,good,European,28.70337999999999
324,Protein,good,Middle Eastern,28.697119999999984
325,Manganese,good,German,28.64738
326,Iron,good,Jewish,28.62147999999998
327,Magnesium,good,Thai,28.53108000000001
